observation_date,TWEXBANL
1995-01-01,92.5752
1996-01-01,97.4584
1997-01-01,104.3864
1998-01-01,115.9162
1999-01-01,116.1848
2000-01-01,119.5885
2001-01-01,126.0434
2002-01-01,126.7670
2003-01-01,119.1863
2004-01-01,113.6907
2005-01-01,110.7992
2006-01-01,108.6602
2007-01-01,103.5196
2008-01-01,99.8313
2009-01-01,105.5706
2010-01-01,101.7698
2011-01-01,97.0541
2012-01-01,99.7918
2013-01-01,100.8929
2014-01-01,103.9979
2015-01-01,117.0766
2016-01-01,122.3552
2017-01-01,122.0689
2018-01-01,122.9116
2019-01-01,128.6422
