Report generated on: 07-30-2026 15:15:09
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"","Saudi Arabia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","        Total petroleum and other liquids (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","            Crude oil, NGPL, and other liquids (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.57-1-SAU-TBPD.A","                Crude oil including lease condensate (Mb/d)","7596.13698630137","8479.887671232877","7075.07397260274","8576.967213114754","9245.019178082192","8300.712328767124","9531.956164383562","9900.158469945356","9814.94794520548","6482.991780821918","5085.895890410959","4443.44262295082","3387.821917808219","4870.016438356164","4264.991780821918","5085.950819672131","5064.156164383561","6410.046575342466","8115.153424657534","8216.20218579235","7959.041095890411","7898.5315068493155","7936.506849315068","7907.950819672131","8083.726027397261","8092.054794520548","7519.7945205479455","7997.336065573771","7697.627397260274","7379.739726027397","9067.905479452054","9291.445355191257","9779.91493150685","9642.118356164383","9190.088863013698","9261.250969945355","8250.112446575342","8417.012455226028","9620.28677220685","9996.579962071584","9872.870454331507","9905.320919653424","10335.617762442465","10634.710382513662","10305.424657534246","10598.13698630137","9980.90410958904","9405.666666666666","9311.546802432056","10664.561643835616","9748.442517808218","9232.154456284154","9556.054035616438"
"INTL.54-1-SAU-TBPD.A","        Refined petroleum products (Mb/d)","","","","","","","","","","","","","","1360","1362","1450","1525","1550","1570","1519","1524","1496","1421","1422","1464","1504","1644","1671.7128961748645","1663.4312876712333","1631.8052328767124","1795.7367123287672","1944.809508196722","2012.5764657534253","2000.0970410958907","1943.5649863013703","2022.547131147541","1934.0197808219177","1935.1167123287678","1897.7994794520544","1965.7197267759561","1884.3626301369861","2220.637616438356","","","","","","","","","","",""
"","United Arab Emirates","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","        Total petroleum and other liquids (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","            Crude oil, NGPL, and other liquids (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.57-1-ARE-TBPD.A","                Crude oil including lease condensate (Mb/d)","1532.6575342465753","1678.9178082191781","1663.876712328767","1936.0846994535518","1999.054794520548","1830.8328767123287","1831.4657534246576","1708.7267759562842","1474.021917808219","1249.986301369863","1148.6301369863013","1205.6639344262296","1193.3972602739725","1330.0328767123287","1540.7260273972602","1565.068306010929","1860.1397260273973","2116.7287671232875","2385.9205479452053","2288.1147540983607","2165.8246575342464","2535.3774465753427","2486.155791780822","2501.6018387978143","2549.1651287671234","2545.503561643836","2297.4219178082194","2238.035519125683","2159.805479452055","1988.7534246575342","2490.794520547945","2592.94262295082","2723.3835616438355","2880.027397260274","2777.1917808219177","2820.7650273224044","2560","2570","2849.178082191781","2993.6065573770493","2938","3010.1917808219177","3149.4520547945203","3242.6502732240438","3192.178082191781","3230.4794520547944","3428.3698630136987","3122.754098360656","3076.27397260274","3683.3589041095893","3615.5890410958905","3674.8688524590166","3771.219178082192"
"INTL.54-1-ARE-TBPD.A","        Refined petroleum products (Mb/d)","","","","","","","","","","","","","","175","190","178","188","195","195","194","197","226","241","244","252","253","336","309.0259125683059","330.1080241095891","369.63850958904123","375.3216394520552","386.1825180327869","373.5025227397265","392.0682608219183","361.07985095890433","359.5328874316939","416.320490958904","450.0915704109586","497.3029260273974","491.3968459016398","510.4164142465758","508.3153293150683","","","","","","","","","","",""
